 ext, txt, notes, parent_id, type_id, origin_ds, origin_nm, name, id, desc, parent name, parent id, parent type, parent parent name, parent parent id, parent parent type, parent parent parent name, parent parent parent id, parent parent parent type, parent parent parent parent name, parent parent parent parent id, parent parent parent parent type
,,,1.2919651E7,1709.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/SH01","qlik_test1","Main",1.2919654E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"C:",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/QvWorkRoot","qlik_test1","QvWorkRoot",1.2919655E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,,,,1701.0,"schema-qlikview://qlik_test1/QVSERVER","qlik_test1","QVSERVER",1.2919656E7,,,,,,,,,,,,,
"Dimension","DEPTNO",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/DEPTNO","qlik_test1","DEPTNO",1.2919657E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;",,1.2919651E7,1703.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;","qlik_test1","DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"C:",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/QvRoot","qlik_test1","QvRoot",1.2919659E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"    EMPNO",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/3","qlik_test1","LOAD0/3",1.291966E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"C:",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/WinRoot","qlik_test1","WinRoot",1.2919661E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"C:\\Users\\OrionIndia-PC5\\Documents",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/QvWorkPath","qlik_test1","QvWorkPath",1.2919662E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/JOB","qlik_test1","JOB",1.2919663E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
